dataset,question_id,question_type,question,gt_answer,image_path,option_A,option_B,option_C,option_D,modality_type,modality,abs_image_path,is_clear
RadImageNet,RadImageNet_32242,Disease Diagnosis,What is visible in this image?,Bowel abnormality,Images/RadImageNet/bowel_abnormality/mrabd002206.png,Normal bowel function,Bowel abnormality,Bladder infection,Pancreatic tumor,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/bowel_abnormality/mrabd002206.png,True
RadImageNet,RadImageNet_28988,Disease Diagnosis,What is the observable condition in this image?,Achilles pathology.,Images/RadImageNet/achilles_pathology_/ankle012753.png,Tennis elbow,Plantar fasciitis,Achilles pathology.,Carpal tunnel syndrome,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/achilles_pathology_/ankle012753.png,True
RadImageNet,RadImageNet_33075,Disease Diagnosis,What diagnosis does the visual examination of this photograph suggest?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/foot048638.png,Synovial cyst formation,Bone density loss,Tendonitis,Chondral abnormality,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/foot048638.png,True
RadImageNet,RadImageNet_30807,Disease Diagnosis,What is visible in this picture?,Bil dil.,Images/RadImageNet/bil_dil/mrabd001932.png,Tri flil.,Bil dil.,Mon ulol.,Hex kolol.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/bil_dil/mrabd001932.png,True
RadImageNet,RadImageNet_40529,Disease Diagnosis,What can be observed in this image?,Intra type of radimageNet dataset.,Images/RadImageNet/intra/knee107286.png,Intra type of radimageNet dataset.,Inter type of radimageNet dataset.,RadimageNet dataset of an unknown type.,Intra type of radimageNet dataset with additional features.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/intra/knee107286.png,True
RadImageNet,RadImageNet_50556,Disease Diagnosis,What is the observed condition in this image?,Peroneal pathology,Images/RadImageNet/peroneal_pathology/ankle080435.png,Meniscal tear,Carpal tunnel syndrome,Tendonitis,Peroneal pathology,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/peroneal_pathology/ankle080435.png,True
RadImageNet,RadImageNet_43586,Disease Diagnosis,What can be observed in this image?,Meniscal abnormality,Images/RadImageNet/meniscal_abnormality/knee017003.png,Bone fracture,Arthritis,Ligament tear,Meniscal abnormality,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/meniscal_abnormality/knee017003.png,True
RadImageNet,RadImageNet_36018,Disease Diagnosis,What can be observed in this image?,Coalition,Images/RadImageNet/coalition/ankle036522.png,Congenital anomaly,Coalition,Necrosis,Inflammation,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/coalition/ankle036522.png,True
RadImageNet,RadImageNet_29527,Disease Diagnosis,What can be observed in this image?,ACL pathology.,Images/RadImageNet/acl_pathology/knee158262.png,Sciatica,ACL pathology.,Rotator cuff tear,Shin splints,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/acl_pathology/knee158262.png,True
RadImageNet,RadImageNet_35030,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/foot033958.png,Chondral abnormality,Nerve compression,Bone density loss,Cartilage degeneration,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/foot033958.png,True
RadImageNet,RadImageNet_33954,Disease Diagnosis,What is the term that describes the abnormality seen in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee174395.png,Muscular imbalance,Chondral abnormality,Fracture,Tendonitis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee174395.png,True
RadImageNet,RadImageNet_42663,Disease Diagnosis,What can be observed in this image?,Marrow inflammation,Images/RadImageNet/marrow_inflammation/shoulder050300.png,Joint swelling,Marrow inflammation,Heart palpitations,Skin rash,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/marrow_inflammation/shoulder050300.png,True
